Symbol,Company Name,Current Price,PE,Market Capital,FFMC,Outstanding Shares,Basic Industry,Industry,Macro,Sectoral Index,Sectoral PE,Status
SCPL,Sheetal Cool Products Limited,556.5,NA,58432.5,19956.3,10500000,Dairy Products,Dairy Products,Fast Moving Consumer Goods,NA,NA,Active
RUBYMILLS,The Ruby Mills Limited,171.7,13.03,57416.48,14492.06,33440000,Other Textile Products,Other Textile Products,Consumer Discretionary,NIFTY 500                                         ,21.73,Active
GANDHITUBE,Gandhi Special Tubes Limited,509.2,17.89,65781.59,17151.917277,12918616,Iron & Steel Products,Iron & Steel Products,Industrials,NIFTY METAL                                       ,12.23,Active
CONTROLPR,Control Print Limited,525.6,17.65,85839.48,41104.9592986,16331712,Computers Hardware & Equipments,Computers Hardware & Equipments,Information Technology,NIFTY 500                                         ,21.73,Active
NRL,Nupur Recyclers Limited,115.9,NA,53035.83,14288.786302,45759992,Trading - Metals,Trading - Metals,Commodities,NA,NA,Active
SUKHJITS,Sukhjit Starch & Chemicals Limited,365.05,NA,57028.11,19368.31182,15622000,Other Agricultural Products,Other Agricultural Products,Fast Moving Consumer Goods,NA,NA,Active
SHREYAS,Shreyas Shipping & Logistics Limited,250.1,2.16,54915.79,16408.864410899998,21957533,Shipping,Shipping,Services,NIFTY 500                                         ,21.73,Active
NAHARPOLY,Nahar Poly Films Limited,218,8.89,53601.82,15580.1804972,24587991,Packaging,Packaging,Industrials,NIFTY 500                                         ,21.73,Active
ASIANTILES,Asian Granito India Limited,40.25,27.75,51014.99,34690.192989200004,126745316,Ceramics,Ceramics,Consumer Discretionary,NIFTY 500                                         ,21.73,Active
HPL,HPL Electric & Power Limited,88.4,17.68,56841.63,15260.4343424,64300486,Consumer Electronics,Consumer Electronics,Consumer Discretionary,NIFTY 500                                         ,21.73,Active
DPABHUSHAN,D. P. Abhushan Limited,315.4,NA,70191.8,17572.9859313,22254850,Gems Jewellery And Watches,Gems Jewellery And Watches,Consumer Discretionary,NA,NA,Active
VIKASLIFE,Vikas Lifecare Limited,3.95,NA,56720.67,49282.3621118,1435966262,Trading & Distributors,Trading & Distributors,Services,NA,NA,Active
INDOAMIN,Indo Amines Limited,89.7,NA,63415.71,16515.6569916,70697560,Specialty Chemicals,Specialty Chemicals,Commodities,NA,NA,Active
